numero;total
1;28
2;50
3;174.48
4;7.07
5;10.77
6;5.95
7;7.02
8;15.71
9;29.54
10;40.5
11;5.39
12;8.91
13;53.3
14;4.44
15;35.77
16;46.30
17;19.96
18;21.85
19;12.50
20;1.49
21;66
22;10.07
23;86.85
24;62.30
25;29.39
26;9.30
27;198
28;61
29;34.70
30;10
31;3
32;3
33;21.78
34;46.40
35;19.5
36;24.93
37;91
38;54.50
39;32
40;35.80
41;9.8
42;257
43;6.90
44;15
45;149
46;28
47;11.50
48;10.89
49;2.60
50;150
51;100
52;9.35
53;55.37
54;48.81
55;8.67
56;18.75
57;53.41
58;17.04
59;41.9
60;49.8
61;55
62;47.6
63;39
64;42.5
65;215
66;48.7
67;36.2
68;52
69;52.1
70;72.2
71;41
72;79
73;7.65
74;25.14
75;11
76;18.5
77;137.7
78;20.25
79;30
80;50.99
81;91
82;51.4
83;67
84;17.60
85;16.30
86;47.90
87;29.50
88;6.9
89;35.80
90;118.90
91;60.45
92;110.00
93;485.00
94;2.20
95;92.10
96;347.60
97;55.50
98;49.58
99;35.00
100;24.60
