numero;total
1000;56.58
1001;69.25
1002;7.61
1003;5.35
1004;15.03
1005;179.94
1006;93.58
1007;143.71
1008;24.47
1009;30.76
1010;77.83
1011;64.43
1012;33.26
1013;9.58
1014;48.53
1015;50.29
1016;35.52
1017;11.04
1018;2.17
1019;45.58
1020;47.02
1021;69.76
1022;37.37
1023;30.15
1024;33.92
1025;7.27
1026;51.82
1027;41.31
1028;34.21
1029;30.98
1030;94.78
1031;44.35
1032;9.5
1033;46.73
1034;17.0
1035;26.38
1036;52.76
1037;164.89
1038;17.8
1039;13.05
1040;28.04
1041;17.0
1042;55.39
1043;26.67
1044;10.94
1045;22.03
1046;38.86
1047;85.07
1048;91.45
1049;77.49
1050;26.92
1051;10.7
1052;94.18
1053;52.47
1054;56.50
1055;30.58
1056;152.0
1057;9.58
1058;37.6
1059;7.55
1060;83.5
1061;26.37
1062;142.01
1063;52.47
1064;19.44
1065;45.79
1066;82.0
1067;40.30
1068;42.9
1069;10.9
1070;10.95
1071;75.50
1072;21.69
1073;13.22
1074;33.73
1075;14.36
1076;25.78
1077;69.79
1078;14.18
1079;235.19
1080;92.22
1081;9.97
1082;6.56
1083;13.78
1084;125.99
1085;228.92
1086;157.51
1087;10.81
1088;13.03
1089;142.93
1090;32.66
1091;28.78
1092;43.30
1093;38.23
1094;16.23
1095;10.25
1096;46.98
1097;13.12
1098;67.89
1099;64.42
1100;26.15
1101;14.06
1102;16.24
1103;42.74
1104;56.38
1105;22.87
1106;75.15
1107;144.28
1108;52.06
1109;27.62
1110;160.07
1111;55.95
1112;184.47
1113;29.96
1114;17.0
1115;79.17
1116;34.12
1117;158.07
1118;4.99
1119;27.44
1120;23.46
1121;71.58
1122;47.7
1123;21.76
1124;83.64
1125;19.10
1126;39.18
1127;26.76
1128;68.99
1129;17.18
1130;47.09
1131;28.31
1132;61.8
1133;146.57
1134;21.73
1135;146.73
1136;13.13
1137;14.17
1138;25.94
1139;617.0
1140;25.47
1141;88.62
1142;83.44
1143;84.78
1144;46.40
1145;65.14
1146;13.26
1147;13.0
1148;13.07
1149;5.29
1150;80.45
1151;13.53
1152;62.70
1153;313.49
1154;73.24
1155;129.75
1156;14.85
1157;9.7
1158;780.45
1159;6.59
1160;33.34
1161;53.23
1162;333.72
1163;41.32
1164;22.70
1165;117.0
1166;42.16
1167;33.75
1168;7.61
1169;46.39
1170;109.28
1171;523.0
1172;17.75
1173;16.56
1174;55.38
1175;7.56
1176;41.45
1177;47.9
1178;11.91
1179;54.2
1180;12.03
1181;439.86
1182;50.80
1183;10.0
1184;193.35
1185;28.40
1186;52.47
1187;50.38
1188;26.96
1189;27.08
1190;118.46
1191;29.98
1192;37.29
1193;19.19
1194;65.1
1195;33.75
1196;58.3
1197;34.0
1198;154.78
1199;128.33
